Year_Quarter_Key,Year,Quarter,_date,five_year_Mortgage_Rates
20011,2001,1,2001-01-03,7.95
20011,2001,1,2001-01-10,7.75
20011,2001,1,2001-01-17,7.75
20011,2001,1,2001-01-24,7.75
20011,2001,1,2001-01-31,7.75
20011,2001,1,2001-02-07,7.75
20011,2001,1,2001-02-14,7.75
20011,2001,1,2001-02-21,7.75
20011,2001,1,2001-02-28,7.75
20011,2001,1,2001-03-07,7.5
20011,2001,1,2001-03-14,7.5
20011,2001,1,2001-03-21,7.25
20011,2001,1,2001-03-28,7.25
20012,2001,2,2001-04-04,7.25
20012,2001,2,2001-04-11,7.5
20012,2001,2,2001-04-18,7.5
20012,2001,2,2001-04-25,7.5
20012,2001,2,2001-05-02,7.5
20012,2001,2,2001-05-09,7.5
20012,2001,2,2001-05-16,7.5
20012,2001,2,2001-05-23,7.75
20012,2001,2,2001-05-30,7.75
20012,2001,2,2001-06-06,7.75
20012,2001,2,2001-06-13,7.75
20012,2001,2,2001-06-20,7.75
20012,2001,2,2001-06-27,7.75
20013,2001,3,2001-07-04,7.75
20013,2001,3,2001-07-11,7.75
20013,2001,3,2001-07-18,7.75
20013,2001,3,2001-07-25,7.75
20013,2001,3,2001-08-01,7.75
20013,2001,3,2001-08-08,7.75
20013,2001,3,2001-08-15,7.75
20013,2001,3,2001-08-22,7.6
20013,2001,3,2001-08-29,7.6
20013,2001,3,2001-09-05,7.45
20013,2001,3,2001-09-12,7.3
20013,2001,3,2001-09-19,7.15
20013,2001,3,2001-09-26,7.15
20014,2001,4,2001-10-03,7.05
20014,2001,4,2001-10-10,7.05
20014,2001,4,2001-10-17,7.05
20014,2001,4,2001-10-24,6.9
20014,2001,4,2001-10-31,6.9
20014,2001,4,2001-11-07,6.7
20014,2001,4,2001-11-14,6.45
20014,2001,4,2001-11-21,6.85
20014,2001,4,2001-11-28,6.85
20014,2001,4,2001-12-05,6.85
20014,2001,4,2001-12-12,6.85
20014,2001,4,2001-12-19,7.1
20014,2001,4,2001-12-26,6.85
20021,2002,1,2002-01-02,6.85
20021,2002,1,2002-01-09,6.85
20021,2002,1,2002-01-16,6.85
20021,2002,1,2002-01-23,6.85
20021,2002,1,2002-01-30,7
20021,2002,1,2002-02-06,6.85
20021,2002,1,2002-02-13,6.85
20021,2002,1,2002-02-20,6.85
20021,2002,1,2002-02-27,6.85
20021,2002,1,2002-03-06,6.85
20021,2002,1,2002-03-13,7.15
20021,2002,1,2002-03-20,7.3
20021,2002,1,2002-03-27,7.3
20022,2002,2,2002-04-03,7.3
20022,2002,2,2002-04-10,7.3
20022,2002,2,2002-04-17,7.3
20022,2002,2,2002-04-24,7.45
20022,2002,2,2002-05-01,7.45
20022,2002,2,2002-05-08,7.45
20022,2002,2,2002-05-15,7.3
20022,2002,2,2002-05-22,7.4
20022,2002,2,2002-05-29,7.4
20022,2002,2,2002-06-05,7.4
20022,2002,2,2002-06-12,7.4
20022,2002,2,2002-06-19,7.25
20022,2002,2,2002-06-26,7.25
20023,2002,3,2002-07-03,7.25
20023,2002,3,2002-07-10,7.25
20023,2002,3,2002-07-17,7.25
20023,2002,3,2002-07-24,7.25
20023,2002,3,2002-07-31,7.05
20023,2002,3,2002-08-07,6.85
20023,2002,3,2002-08-14,6.8
20023,2002,3,2002-08-21,6.8
20023,2002,3,2002-08-28,6.8
20023,2002,3,2002-09-04,6.95
20023,2002,3,2002-09-11,6.7
20023,2002,3,2002-09-18,6.7
20023,2002,3,2002-09-25,6.7
20024,2002,4,2002-10-02,6.7
20024,2002,4,2002-10-09,6.7
20024,2002,4,2002-10-16,6.7
20024,2002,4,2002-10-23,7
20024,2002,4,2002-10-30,7
20024,2002,4,2002-11-06,6.8
20024,2002,4,2002-11-13,6.7
20024,2002,4,2002-11-20,6.7
20024,2002,4,2002-11-27,6.7
20024,2002,4,2002-12-04,6.7
20024,2002,4,2002-12-11,6.7
20024,2002,4,2002-12-18,6.7
20024,2002,4,2002-12-25,6.7
20031,2003,1,2003-01-01,6.7
20031,2003,1,2003-01-08,6.7
20031,2003,1,2003-01-15,6.45
20031,2003,1,2003-01-22,6.45
20031,2003,1,2003-01-29,6.45
20031,2003,1,2003-02-05,6.6
20031,2003,1,2003-02-12,6.6
20031,2003,1,2003-02-19,6.6
20031,2003,1,2003-02-26,6.6
20031,2003,1,2003-03-05,6.6
20031,2003,1,2003-03-12,6.6
20031,2003,1,2003-03-19,6.6
20031,2003,1,2003-03-26,6.85
20032,2003,2,2003-04-02,6.85
20032,2003,2,2003-04-09,6.85
20032,2003,2,2003-04-16,6.85
20032,2003,2,2003-04-23,6.85
20032,2003,2,2003-04-30,6.65
20032,2003,2,2003-05-07,6.5
20032,2003,2,2003-05-14,6.5
20032,2003,2,2003-05-21,6.3
20032,2003,2,2003-05-28,6.15
20032,2003,2,2003-06-04,6
20032,2003,2,2003-06-11,5.9
20032,2003,2,2003-06-18,5.8
20032,2003,2,2003-06-25,5.8
20033,2003,3,2003-07-02,6.1
20033,2003,3,2003-07-09,6.05
20033,2003,3,2003-07-16,6.2
20033,2003,3,2003-07-23,6.2
20033,2003,3,2003-07-30,6.2
20033,2003,3,2003-08-06,6.35
20033,2003,3,2003-08-13,6.35
20033,2003,3,2003-08-20,6.55
20033,2003,3,2003-08-27,6.35
20033,2003,3,2003-09-03,6.35
20033,2003,3,2003-09-10,6.5
20033,2003,3,2003-09-17,6.4
20033,2003,3,2003-09-24,6.3
20034,2003,4,2003-10-01,6.15
20034,2003,4,2003-10-08,6.15
20034,2003,4,2003-10-15,6.15
20034,2003,4,2003-10-22,6.4
20034,2003,4,2003-10-29,6.4
20034,2003,4,2003-11-05,6.4
20034,2003,4,2003-11-12,6.65
20034,2003,4,2003-11-19,6.5
20034,2003,4,2003-11-26,6.5
20034,2003,4,2003-12-03,6.5
20034,2003,4,2003-12-10,6.5
20034,2003,4,2003-12-17,6.45
20034,2003,4,2003-12-24,6.45
20034,2003,4,2003-12-31,6.45
20041,2004,1,2004-01-07,6.35
20041,2004,1,2004-01-14,6.35
20041,2004,1,2004-01-21,6.15
20041,2004,1,2004-01-28,6.05
20041,2004,1,2004-02-04,6.05
20041,2004,1,2004-02-11,6
20041,2004,1,2004-02-18,5.8
20041,2004,1,2004-02-25,5.8
20041,2004,1,2004-03-03,5.8
20041,2004,1,2004-03-10,5.8
20041,2004,1,2004-03-17,5.7
20041,2004,1,2004-03-24,5.7
20041,2004,1,2004-03-31,5.7
20042,2004,2,2004-04-07,5.95
20042,2004,2,2004-04-14,5.95
20042,2004,2,2004-04-21,6.15
20042,2004,2,2004-04-28,6.15
20042,2004,2,2004-05-05,6.15
20042,2004,2,2004-05-12,6.4
20042,2004,2,2004-05-19,6.4
20042,2004,2,2004-05-26,6.55
20042,2004,2,2004-06-02,6.5
20042,2004,2,2004-06-09,6.5
20042,2004,2,2004-06-16,6.7
20042,2004,2,2004-06-23,6.7
20042,2004,2,2004-06-30,6.7
20043,2004,3,2004-07-07,6.7
20043,2004,3,2004-07-14,6.55
20043,2004,3,2004-07-21,6.55
20043,2004,3,2004-07-28,6.55
20043,2004,3,2004-08-04,6.55
20043,2004,3,2004-08-11,6.3
20043,2004,3,2004-08-18,6.3
20043,2004,3,2004-08-25,6.3
20043,2004,3,2004-09-01,6.4
20043,2004,3,2004-09-08,6.4
20043,2004,3,2004-09-15,6.45
20043,2004,3,2004-09-22,6.4
20043,2004,3,2004-09-29,6.3
20044,2004,4,2004-10-06,6.3
20044,2004,4,2004-10-13,6.5
20044,2004,4,2004-10-20,6.4
20044,2004,4,2004-10-27,6.4
20044,2004,4,2004-11-03,6.3
20044,2004,4,2004-11-10,6.3
20044,2004,4,2004-11-17,6.3
20044,2004,4,2004-11-24,6.3
20044,2004,4,2004-12-01,6.3
20044,2004,4,2004-12-08,6.15
20044,2004,4,2004-12-15,6.05
20044,2004,4,2004-12-22,6.05
20044,2004,4,2004-12-29,6.05
20051,2005,1,2005-01-05,6.05
20051,2005,1,2005-01-12,6.05
20051,2005,1,2005-01-19,6.05
20051,2005,1,2005-01-26,6.05
20051,2005,1,2005-02-02,6.05
20051,2005,1,2005-02-09,6.05
20051,2005,1,2005-02-16,6.05
20051,2005,1,2005-02-23,6.05
20051,2005,1,2005-03-02,6.05
20051,2005,1,2005-03-09,6.05
20051,2005,1,2005-03-16,6.05
20051,2005,1,2005-03-23,6.05
20051,2005,1,2005-03-30,6.25
20052,2005,2,2005-04-06,6.25
20052,2005,2,2005-04-13,6.25
20052,2005,2,2005-04-20,6.05
20052,2005,2,2005-04-27,6.05
20052,2005,2,2005-05-04,6.05
20052,2005,2,2005-05-11,6.05
20052,2005,2,2005-05-18,6.05
20052,2005,2,2005-05-25,5.95
20052,2005,2,2005-06-01,5.85
20052,2005,2,2005-06-08,5.7
20052,2005,2,2005-06-15,5.7
20052,2005,2,2005-06-22,5.7
20052,2005,2,2005-06-29,5.7
20053,2005,3,2005-07-06,5.7
20053,2005,3,2005-07-13,5.7
20053,2005,3,2005-07-20,5.8
20053,2005,3,2005-07-27,5.8
20053,2005,3,2005-08-03,5.8
20053,2005,3,2005-08-10,5.8
20053,2005,3,2005-08-17,5.9
20053,2005,3,2005-08-24,5.8
20053,2005,3,2005-08-31,5.8
20053,2005,3,2005-09-07,5.8
20053,2005,3,2005-09-14,5.8
20053,2005,3,2005-09-21,5.8
20053,2005,3,2005-09-28,5.8
20054,2005,4,2005-10-05,5.8
20054,2005,4,2005-10-12,5.9
20054,2005,4,2005-10-19,6
20054,2005,4,2005-10-26,6
20054,2005,4,2005-11-02,6.15
20054,2005,4,2005-11-09,6.15
20054,2005,4,2005-11-16,6.15
20054,2005,4,2005-11-23,6.15
20054,2005,4,2005-11-30,6.15
20054,2005,4,2005-12-07,6.15
20054,2005,4,2005-12-14,6.15
20054,2005,4,2005-12-21,6.3
20054,2005,4,2005-12-28,6.3
20061,2006,1,2006-01-04,6.3
20061,2006,1,2006-01-11,6.3
20061,2006,1,2006-01-18,6.3
20061,2006,1,2006-01-25,6.3
20061,2006,1,2006-02-01,6.3
20061,2006,1,2006-02-08,6.45
20061,2006,1,2006-02-15,6.45
20061,2006,1,2006-02-22,6.45
20061,2006,1,2006-03-01,6.45
20061,2006,1,2006-03-08,6.45
20061,2006,1,2006-03-15,6.45
20061,2006,1,2006-03-22,6.45
20061,2006,1,2006-03-29,6.45
20062,2006,2,2006-04-05,6.45
20062,2006,2,2006-04-12,6.6
20062,2006,2,2006-04-19,6.6
20062,2006,2,2006-04-26,6.75
20062,2006,2,2006-05-03,6.75
20062,2006,2,2006-05-10,6.75
20062,2006,2,2006-05-17,6.75
20062,2006,2,2006-05-24,6.75
20062,2006,2,2006-05-31,6.75
20062,2006,2,2006-06-07,6.75
20062,2006,2,2006-06-14,6.75
20062,2006,2,2006-06-21,6.75
20062,2006,2,2006-06-28,6.95
20063,2006,3,2006-07-05,6.95
20063,2006,3,2006-07-12,6.95
20063,2006,3,2006-07-19,6.95
20063,2006,3,2006-07-26,6.95
20063,2006,3,2006-08-02,6.95
20063,2006,3,2006-08-09,6.95
20063,2006,3,2006-08-16,6.95
20063,2006,3,2006-08-23,6.85
