Year_Quarter_Key,_Year,Quarter,_date,CANRECDM,_Indicator
20011,2001,1,2001-01-01,1,1
20012,2001,2,2001-04-01,1,1
20013,2001,3,2001-07-01,1,1
20014,2001,4,2001-10-01,0.34,0
20021,2002,1,2002-01-01,0,0
20022,2002,2,2002-04-01,0,0
20023,2002,3,2002-07-01,1,1
20024,2002,4,2002-10-01,1,1
20031,2003,1,2003-01-01,1,1
20032,2003,2,2003-04-01,1,1
20033,2003,3,2003-07-01,1,1
20034,2003,4,2003-10-01,0.34,0
20041,2004,1,2004-01-01,0,0
20042,2004,2,2004-04-01,0,0
20043,2004,3,2004-07-01,0,0
20044,2004,4,2004-10-01,0,0
20051,2005,1,2005-01-01,0,0
20052,2005,2,2005-04-01,0,0
20053,2005,3,2005-07-01,0,0
20054,2005,4,2005-10-01,0,0
20061,2006,1,2006-01-01,0,0
20062,2006,2,2006-04-01,0,0
20063,2006,3,2006-07-01,0,0
20064,2006,4,2006-10-01,0,0
20071,2007,1,2007-01-01,0,0
20072,2007,2,2007-04-01,0,0
20073,2007,3,2007-07-01,0.66,1
20074,2007,4,2007-10-01,1,1
20081,2008,1,2008-01-01,1,1
20082,2008,2,2008-04-01,1,1
20083,2008,3,2008-07-01,1,1
20084,2008,4,2008-10-01,1,1
20091,2009,1,2009-01-01,1,1
20092,2009,2,2009-04-01,1,1
20093,2009,3,2009-07-01,0.34,0
20094,2009,4,2009-10-01,0,0
20101,2010,1,2010-01-01,0,0
20102,2010,2,2010-04-01,0,0
20103,2010,3,2010-07-01,0,0
20104,2010,4,2010-10-01,0,0
20111,2011,1,2011-01-01,0,0
20112,2011,2,2011-04-01,0,0
20113,2011,3,2011-07-01,0,0
20114,2011,4,2011-10-01,0.66,1
20121,2012,1,2012-01-01,1,1
20122,2012,2,2012-04-01,1,1
20123,2012,3,2012-07-01,1,1
20124,2012,4,2012-10-01,0.66,1
20131,2013,1,2013-01-01,0,0
20132,2013,2,2013-04-01,0,0
20133,2013,3,2013-07-01,0,0
20134,2013,4,2013-10-01,0,0
20141,2014,1,2014-01-01,0,0
20142,2014,2,2014-04-01,0,0
20143,2014,3,2014-07-01,0.33,0
20144,2014,4,2014-10-01,1,1
20151,2015,1,2015-01-01,1,1
20152,2015,2,2015-04-01,1,1
20153,2015,3,2015-07-01,1,1
20154,2015,4,2015-10-01,1,1
20161,2016,1,2016-01-01,1,1
20162,2016,2,2016-04-01,1,1
20163,2016,3,2016-07-01,0,0
20164,2016,4,2016-10-01,0,0
20171,2017,1,2017-01-01,0,0
20172,2017,2,2017-04-01,0,0
20173,2017,3,2017-07-01,0,0
20174,2017,4,2017-10-01,0,0
20181,2018,1,2018-01-01,0,0
20182,2018,2,2018-04-01,0,0
20183,2018,3,2018-07-01,0,0
20184,2018,4,2018-10-01,0,0
20191,2019,1,2019-01-01,0,0
20192,2019,2,2019-04-01,0,0
20193,2019,3,2019-07-01,0.33,0
20194,2019,4,2019-10-01,1,1
20201,2020,1,2020-01-01,1,1
20202,2020,2,2020-04-01,1,1
20203,2020,3,2020-07-01,1,1
20204,2020,4,2020-10-01,1,1
20211,2021,1,2021-01-01,1,1
20212,2021,2,2021-04-01,0.67,1
20213,2021,3,2021-07-01,0,0
20214,2021,4,2021-10-01,0,0
20221,2022,1,2022-01-01,0,0
20222,2022,2,2022-04-01,0,0
